Ville	Chomage	ChomageJeunes	ChomageLong	EvoluEmploiCree	Activite	EmploiFeminin	EmploiCommune	DefaillEntreprise	SalaireAnnuel	Criminalite	EvolutionCrimes	SecuriteRoutiere	Inondations	TerrainsPollues	UsinesRisques	MortaliteInfantile	MortaliteCancerPoumon	MortaliteAlcool	DecesInfarctus	TauxSuicide	MortaliteGlobale	TailleClassesPrimaires	Retard6eme	Retard3eme	RetardTerminale	MetreCarreAncien	TaxeHabitation	FoncierBati	MetreCubeEau	Proprietaires	LogtSup4pieces	LogtInsalubre	LogtVacant	LogtConstruction	Mer	Ski	Soleil	Pluie	Temperature	MarcheAPied	Musees	Cinema	MonumHistoriques	PretLivres	RestaurDistingues	Presse	Etudiants	ImpotRevenu	ImpotFortune	Imposables	EvolDemographique	Vieillissement	AttiranceGlobale	AttiranceActifs
Dijon	0.121	0.123	0.540	0.050	0.460	0.510	0.610	0.120	18983	71.900	-0.104	4.300	2	3	1	3.800	44.200	31.500	62.400	14.900	734.000	22.800	0.052	0.091	0.239	1122	18.970	23.270	2.350	0.410	0.390	0.014	0.090	0.006	1	1	1831	115.100	10.500	0.120	6	5.000	70	4.200	2.000	18.500	0.200	1546	0.008	59	0.022	0.390	0.380	0.390
Dunkerque	0.188	0.137	0.580	0.080	0.440	0.420	0.520	0.250	19338	74.700	-0.058	1.000	7	8	6	4.200	46.600	67.800	106.800	24.400	940.300	23.600	0.051	0.120	0.204	939	33.550	23.560	3.240	0.440	0.590	0.017	0.070	0.007	3	1	1600	118.500	10.500	0.090	3	3.600	3	4.400	0.000	15.900	0.090	1235	0.006	48	0.007	0.260	0.270	0.330
Epinal	0.151	0.139	0.570	-0.050	0.440	0.520	0.580	0.120	18089	67.900	0.105	4.200	5	1	0	5.400	56.300	43.400	56.300	19.300	816.300	22.000	0.022	0.063	0.211	772	20.070	26.010	3.300	0.350	0.510	0.011	0.090	0.002	1	2	1690	134.000	9.900	0.150	1	4.100	3	2.100	1.000	19.400	0.060	1391	0.007	51	-0.026	0.300	0.300	0.370
Evry	0.130	0.139	0.460	0.230	0.500	0.510	0.290	0.120	19439	118.700	0.072	2.300	8	0	0	3.800	27.300	43.700	97.200	12.200	802.700	25.000	0.068	0.178	0.230	1098	17.620	18.190	3.310	0.380	0.470	0.002	0.110	0.002	1	1	1798	111.200	10.500	0.070	0	0.200	0	6.000	0.000	16.000	0.190	1218	0.002	56	0.086	0.070	0.440	0.470
Gap	0.105	0.145	0.490	0.030	0.460	0.470	0.800	0.120	17671	50.000	0.014	1.000	4	0	0	9.600	23.700	32.200	50.600	13.100	720.200	23.400	0.034	0.074	0.142	1022	10.380	30.120	2.220	0.490	0.550	0.007	0.060	0.019	1	2	2506	83.000	10.000	0.170	1	4.600	3	4.200	0.000	19.500	0.020	1281	0.006	56	0.084	0.370	0.280	0.310
Grenoble	0.160	0.110	0.540	0.040	0.450	0.480	0.480	0.190	20002	103.700	-0.069	3.200	2	6	2	3.600	31.300	29.100	64.600	15.700	736.400	23.000	0.047	0.095	0.206	1144	19.740	33.700	1.990	0.360	0.340	0.012	0.080	0.005	1	2	2031	110.400	10.400	0.130	7	5.500	11	5.800	0.000	15.900	0.120	1447	0.008	56	0.017	0.400	0.370	0.400
La Rochelle	0.194	0.200	0.590	0.080	0.430	0.490	0.600	0.110	17635	132.600	0.056	5.100	4	5	4	4.000	42.800	40.600	58.200	24.500	736.500	22.700	0.032	0.126	0.224	1404	18.750	33.090	2.330	0.360	0.450	0.014	0.070	0.003	3	1	2250	114.900	12.700	0.100	5	7.600	27	3.200	1.000	23.800	0.110	1253	0.008	49	0.077	0.460	0.360	0.400
La RocheSurYon	0.115	0.154	0.510	0.040	0.460	0.490	0.720	0.110	18082	87.500	0.154	1.900	8	1	0	8.000	30.600	28.900	56.200	18.600	724.800	23.500	0.038	0.075	0.172	796	22.370	24.020	2.690	0.500	0.590	0.007	0.050	0.008	2	1	1956	112.900	11.700	0.090	0	4.800	2	7.000	0.000	22.000	0.070	1247	0.004	54	0.089	0.280	0.320	0.350
Laval	11.300	0.137	0.460	0.060	0.470	0.480	0.690	0.160	17750	69.500	0.058	1.000	8	1	0	3.600	26.800	46.600	43.800	28.100	734.200	23.100	0.046	0.071	0.179	878	18.520	23.690	2.280	0.380	0.520	0.012	0.050	0.009	2	1	1622	117.000	11.700	0.110	1	4.000	13	3.800	1.000	18.700	0.050	1267	0.006	54	0.009	0.330	0.320	0.370
LeHavre	0.205	0.176	0.630	0.030	0.420	0.440	0.620	0.180	18739	83.700	0.014	3.900	13	11	5	7.000	45.800	61.900	82.500	15.500	920.700	22.500	0.042	0.146	0.286	973	17.670	27.240	2.570	0.390	0.450	0.017	0.070	0.005	3	1	1788	124.700	10.700	0.100	5	3.400	8	2.300	0.000	13.700	0.050	983	0.004	48	-0.025	0.280	0.150	0.190
